EmployeeNumber,Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
593,0,47,Travel_Rarely,202,Research & Development,2,2,Other,3,Female,33,3,4,Manager,4,Married,16752,12982,1,1,1,11,3,3,80,1,26,3,2,26,14,3,0
594,0,36,Travel_Rarely,676,Research & Development,1,3,Other,3,Female,35,3,2,Manufacturing Director,2,Married,5228,23361,0,1,0,15,3,1,80,1,10,2,3,9,7,0,5
595,0,29,Travel_Rarely,1252,Research & Development,23,2,Life Sciences,3,Male,81,4,1,Research Scientist,3,Married,2700,23779,1,1,0,24,4,3,80,1,10,3,3,10,7,0,7
596,1,58,Travel_Rarely,286,Research & Development,2,4,Life Sciences,4,Male,31,3,5,Research Director,2,Single,19246,25761,7,1,1,12,3,4,80,0,40,2,3,31,15,13,8
597,0,35,Travel_Rarely,1258,Research & Development,1,4,Life Sciences,4,Female,40,4,1,Research Scientist,3,Single,2506,13301,3,1,0,13,3,3,80,0,7,0,3,2,2,2,2
598,0,42,Travel_Rarely,932,Research & Development,1,2,Life Sciences,4,Female,43,2,2,Manufacturing Director,4,Married,6062,4051,9,1,1,13,3,4,80,1,8,4,3,4,3,0,2
599,1,28,Travel_Rarely,890,Research & Development,2,4,Medical,3,Male,46,3,1,Research Scientist,3,Single,4382,16374,6,1,0,17,3,4,80,0,5,3,2,2,2,2,1
600,0,36,Travel_Rarely,1041,Human Resources,13,3,Human Resources,3,Male,36,3,1,Human Resources,2,Married,2143,25527,4,1,0,13,3,2,80,1,8,2,3,5,2,0,4
601,0,32,Travel_Rarely,859,Research & Development,4,3,Life Sciences,3,Female,98,2,2,Manufacturing Director,3,Married,6162,19124,1,1,0,12,3,3,80,1,14,3,3,14,13,6,8
602,0,40,Travel_Frequently,720,Research & Development,16,4,Medical,1,Male,51,2,2,Laboratory Technician,3,Single,5094,11983,6,1,0,14,3,4,80,0,10,6,3,1,0,0,0
603,0,30,Travel_Rarely,946,Research & Development,2,3,Medical,3,Female,52,2,2,Manufacturing Director,4,Single,6877,20234,5,1,1,24,4,2,80,0,12,4,2,0,0,0,0
604,0,45,Travel_Rarely,252,Research & Development,2,3,Life Sciences,2,Female,95,2,1,Research Scientist,3,Single,2274,6153,1,1,0,14,3,4,80,0,1,3,3,1,0,0,0
605,0,42,Travel_Rarely,933,Research & Development,29,3,Life Sciences,2,Male,98,3,2,Manufacturing Director,2,Married,4434,11806,1,1,0,13,3,4,80,1,10,3,2,9,8,7,8
606,0,38,Travel_Frequently,471,Research & Development,12,3,Life Sciences,1,Male,45,2,2,Healthcare Representative,1,Divorced,6288,4284,2,1,0,15,3,3,80,1,13,3,2,4,3,1,2
607,0,34,Travel_Frequently,702,Research & Development,16,4,Life Sciences,3,Female,100,2,1,Research Scientist,4,Single,2553,8306,1,1,0,16,3,3,80,0,6,3,3,5,2,1,3
608,1,49,Travel_Rarely,1184,Sales,11,3,Marketing,3,Female,43,3,3,Sales Executive,4,Married,7654,5860,1,1,0,18,3,1,80,2,9,3,4,9,8,7,7
609,1,55,Travel_Rarely,436,Sales,2,1,Medical,3,Male,37,3,2,Sales Executive,4,Single,5160,21519,4,1,0,16,3,3,80,0,12,3,2,9,7,7,3
610,0,43,Travel_Rarely,589,Research & Development,14,2,Life Sciences,2,Male,94,3,4,Research Director,1,Married,17159,5200,6,1,0,24,4,3,80,1,22,3,3,4,1,1,0
611,0,27,Travel_Rarely,269,Research & Development,5,1,Technical Degree,3,Male,42,2,3,Research Director,4,Divorced,12808,8842,1,1,1,16,3,2,80,1,9,3,3,9,8,0,8
612,0,35,Travel_Rarely,950,Research & Development,7,3,Other,3,Male,59,3,3,Manufacturing Director,3,Single,10221,18869,3,1,0,21,4,2,80,0,17,3,4,8,5,1,6
613,0,28,Travel_Rarely,760,Sales,2,4,Marketing,2,Female,81,3,2,Sales Executive,2,Married,4779,3698,1,1,1,20,4,1,80,0,8,2,3,8,7,7,5
614,0,34,Travel_Rarely,829,Human Resources,3,2,Human Resources,3,Male,88,3,1,Human Resources,4,Married,3737,2243,0,1,0,19,3,3,80,1,4,1,1,3,2,0,2
615,1,26,Travel_Frequently,887,Research & Development,5,2,Medical,3,Female,88,2,1,Research Scientist,3,Married,2366,20898,1,1,1,14,3,1,80,1,8,2,3,8,7,1,7
616,0,27,Non-Travel,443,Research & Development,3,3,Medical,4,Male,50,3,1,Research Scientist,4,Married,1706,16571,1,1,0,11,3,3,80,3,0,6,2,0,0,0,0
617,0,51,Travel_Rarely,1318,Sales,26,4,Marketing,1,Female,66,3,4,Manager,3,Married,16307,5594,2,1,0,14,3,3,80,1,29,2,2,20,6,4,17
618,0,44,Travel_Rarely,625,Research & Development,4,3,Medical,4,Male,50,3,2,Healthcare Representative,2,Single,5933,5197,9,1,0,12,3,4,80,0,10,2,2,5,2,2,3
619,0,25,Travel_Rarely,180,Research & Development,2,1,Medical,1,Male,65,4,1,Research Scientist,1,Single,3424,21632,7,1,0,13,3,3,80,0,6,3,2,4,3,0,1
620,0,33,Travel_Rarely,586,Sales,1,3,Medical,1,Male,48,4,2,Sales Executive,1,Divorced,4037,21816,1,1,0,22,4,1,80,1,9,5,3,9,8,0,8
621,0,35,Travel_Rarely,1343,Research & Development,27,1,Medical,3,Female,53,2,1,Research Scientist,1,Single,2559,17852,1,1,0,11,3,4,80,0,6,3,2,6,5,1,1
622,0,36,Travel_Rarely,928,Sales,1,2,Life Sciences,2,Male,56,3,2,Sales Executive,4,Married,6201,2823,1,1,1,14,3,4,80,1,18,1,2,18,14,4,11
623,0,32,Travel_Rarely,117,Sales,13,4,Life Sciences,2,Male,73,3,2,Sales Executive,4,Divorced,4403,9250,2,1,0,11,3,3,80,1,8,3,2,5,2,0,3
624,0,30,Travel_Frequently,1012,Research & Development,5,4,Life Sciences,2,Male,75,2,1,Research Scientist,4,Divorced,3761,2373,9,1,0,12,3,2,80,1,10,3,2,5,4,0,3
625,0,53,Travel_Rarely,661,Sales,7,2,Marketing,1,Female,78,2,3,Sales Executive,4,Married,10934,20715,7,1,1,18,3,4,80,1,35,3,3,5,2,0,4
626,0,45,Travel_Rarely,930,Sales,9,3,Marketing,4,Male,74,3,3,Sales Executive,1,Divorced,10761,19239,4,1,1,12,3,3,80,1,18,2,3,5,4,0,2
627,0,32,Travel_Rarely,638,Research & Development,8,2,Medical,3,Female,91,4,2,Research Scientist,3,Married,5175,22162,5,1,0,12,3,3,80,1,9,3,2,5,3,1,3
628,0,52,Travel_Frequently,890,Research & Development,25,4,Medical,3,Female,81,2,4,Manufacturing Director,4,Married,13826,19028,3,1,0,22,4,3,80,0,31,3,3,9,8,0,0
629,0,37,Travel_Rarely,342,Sales,16,4,Marketing,4,Male,66,2,2,Sales Executive,3,Divorced,6334,24558,4,1,0,19,3,4,80,2,9,2,3,1,0,0,0
630,0,28,Travel_Rarely,1169,Human Resources,8,2,Medical,2,Male,63,2,1,Human Resources,4,Divorced,4936,23965,1,1,0,13,3,4,80,1,6,6,3,5,1,0,4
631,0,22,Travel_Rarely,1230,Research & Development,1,2,Life Sciences,4,Male,33,2,2,Manufacturing Director,4,Married,4775,19146,6,1,0,22,4,1,80,2,4,2,1,2,2,2,2
632,0,44,Travel_Rarely,986,Research & Development,8,4,Life Sciences,1,Male,62,4,1,Laboratory Technician,4,Married,2818,5044,2,1,1,24,4,3,80,1,10,2,2,3,2,0,2
633,0,42,Travel_Frequently,1271,Research & Development,2,1,Medical,2,Male,35,3,1,Research Scientist,4,Single,2515,9068,5,1,1,14,3,4,80,0,8,2,3,2,1,2,2
634,0,36,Travel_Rarely,1278,Human Resources,8,3,Life Sciences,1,Male,77,2,1,Human Resources,1,Married,2342,8635,0,1,0,21,4,3,80,0,6,3,3,5,4,0,3
635,0,25,Travel_Rarely,141,Sales,3,1,Other,3,Male,98,3,2,Sales Executive,1,Married,4194,14363,1,1,1,18,3,4,80,0,5,3,3,5,3,0,3
636,0,35,Travel_Rarely,607,Research & Development,9,3,Life Sciences,4,Female,66,2,3,Manufacturing Director,3,Married,10685,23457,1,1,1,20,4,2,80,1,17,2,3,17,14,5,15
637,1,35,Travel_Frequently,130,Research & Development,25,4,Life Sciences,4,Female,96,3,1,Research Scientist,2,Divorced,2022,16612,1,1,1,19,3,1,80,1,10,3,2,10,2,7,8
638,0,32,Non-Travel,300,Research & Development,1,3,Life Sciences,4,Male,61,3,1,Laboratory Technician,4,Divorced,2314,9148,0,1,0,12,3,2,80,1,4,2,3,3,0,0,2
639,0,25,Travel_Rarely,583,Sales,4,1,Marketing,3,Male,87,2,2,Sales Executive,1,Married,4256,18154,1,1,0,12,3,1,80,0,5,1,4,5,2,0,3
640,0,49,Travel_Rarely,1418,Research & Development,1,3,Technical Degree,3,Female,36,3,1,Research Scientist,1,Married,3580,10554,2,1,0,16,3,2,80,1,7,2,3,4,2,0,2
641,0,24,Non-Travel,1269,Research & Development,4,1,Life Sciences,1,Male,46,2,1,Laboratory Technician,4,Married,3162,10778,0,1,0,17,3,4,80,0,6,2,2,5,2,3,4
642,0,32,Travel_Frequently,379,Sales,5,2,Life Sciences,2,Male,48,3,2,Sales Executive,2,Married,6524,8891,1,1,0,14,3,4,80,1,10,3,3,10,8,5,3
643,0,38,Travel_Rarely,395,Sales,9,3,Marketing,2,Male,98,2,1,Sales Representative,2,Married,2899,12102,0,1,0,19,3,4,80,1,3,3,3,2,2,1,2
644,0,42,Travel_Rarely,1265,Research & Development,3,3,Life Sciences,3,Female,95,4,2,Laboratory Technician,4,Married,5231,23726,2,1,1,13,3,2,80,1,17,1,2,5,3,1,3
645,0,31,Travel_Rarely,1222,Research & Development,11,4,Life Sciences,4,Male,48,3,1,Research Scientist,4,Married,2356,14871,3,1,1,19,3,2,80,1,8,2,3,6,4,0,2
646,1,29,Travel_Rarely,341,Sales,1,3,Medical,2,Female,48,2,1,Sales Representative,3,Divorced,2800,23522,6,1,1,19,3,3,80,3,5,3,3,3,2,0,2
647,0,53,Travel_Rarely,868,Sales,8,3,Marketing,1,Male,73,3,4,Sales Executive,4,Married,11836,22789,5,1,0,14,3,3,80,1,28,3,3,2,0,2,2
648,0,35,Travel_Rarely,672,Research & Development,25,3,Technical Degree,4,Male,78,2,3,Manufacturing Director,2,Married,10903,9129,3,1,0,16,3,1,80,0,16,2,3,13,10,4,8
649,0,37,Travel_Frequently,1231,Sales,21,2,Medical,3,Female,54,3,1,Sales Representative,4,Married,2973,21222,5,1,0,15,3,2,80,1,10,3,3,5,4,0,0
650,0,53,Travel_Rarely,102,Research & Development,23,4,Life Sciences,4,Female,72,3,4,Research Director,4,Single,14275,20206,6,1,0,18,3,3,80,0,33,0,3,12,9,3,8
651,0,43,Travel_Frequently,422,Research & Development,1,3,Life Sciences,4,Female,33,3,2,Healthcare Representative,4,Married,5562,21782,4,1,0,13,3,2,80,1,12,2,2,5,2,2,2
652,0,47,Travel_Rarely,249,Sales,2,2,Marketing,3,Female,35,3,2,Sales Executive,4,Married,4537,17783,0,1,1,22,4,1,80,1,8,2,3,7,6,7,7
653,0,37,Non-Travel,1252,Sales,19,2,Medical,1,Male,32,3,3,Sales Executive,2,Single,7642,4814,1,1,1,13,3,4,80,0,10,2,3,10,0,0,9
654,0,50,Non-Travel,881,Research & Development,2,4,Life Sciences,1,Male,98,3,4,Manager,1,Divorced,17924,4544,1,1,0,11,3,4,80,1,31,3,3,31,6,14,7
655,0,39,Travel_Rarely,1383,Human Resources,2,3,Life Sciences,4,Female,42,2,2,Human Resources,4,Married,5204,7790,8,1,0,11,3,3,80,2,13,2,3,5,4,0,4
656,0,33,Travel_Rarely,1075,Human Resources,3,2,Human Resources,4,Male,57,3,1,Human Resources,2,Divorced,2277,22650,3,1,1,11,3,3,80,1,7,4,4,4,3,0,3
657,1,32,Travel_Rarely,374,Research & Development,25,4,Life Sciences,1,Male,87,3,1,Laboratory Technician,4,Single,2795,18016,1,1,1,24,4,3,80,0,1,2,1,1,0,0,1
658,0,29,Travel_Rarely,1086,Research & Development,7,1,Medical,1,Female,62,2,1,Laboratory Technician,4,Divorced,2532,6054,6,1,0,14,3,3,80,3,8,5,3,4,3,0,3
659,0,44,Travel_Rarely,661,Research & Development,9,2,Life Sciences,2,Male,61,3,1,Research Scientist,1,Married,2559,7508,1,1,1,13,3,4,80,0,8,0,3,8,7,7,1
660,0,28,Travel_Rarely,821,Sales,5,4,Medical,1,Male,98,3,2,Sales Executive,4,Single,4908,24252,1,1,0,14,3,2,80,0,4,3,3,4,2,0,2
661,1,58,Travel_Frequently,781,Research & Development,2,1,Life Sciences,4,Male,57,2,1,Laboratory Technician,4,Divorced,2380,13384,9,1,1,14,3,4,80,1,3,3,2,1,0,0,0
662,0,43,Travel_Rarely,177,Research & Development,8,3,Life Sciences,1,Female,55,3,2,Manufacturing Director,2,Divorced,4765,23814,4,1,0,21,4,3,80,1,4,2,4,1,0,0,0
663,1,20,Travel_Rarely,500,Sales,2,3,Medical,3,Female,49,2,1,Sales Representative,3,Single,2044,22052,1,1,0,13,3,4,80,0,2,3,2,2,2,0,2
664,1,21,Travel_Rarely,1427,Research & Development,18,1,Other,4,Female,65,3,1,Research Scientist,4,Single,2693,8870,1,1,0,19,3,1,80,0,1,3,2,1,0,0,0
665,0,36,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,3,Male,68,3,2,Healthcare Representative,4,Married,6586,4821,0,1,1,17,3,1,80,1,17,2,2,16,8,4,11
666,0,47,Travel_Rarely,1454,Sales,2,4,Life Sciences,4,Female,65,2,1,Sales Representative,4,Single,3294,13137,1,1,1,18,3,1,80,0,3,3,2,3,2,1,2
667,1,22,Travel_Rarely,617,Research & Development,3,1,Life Sciences,2,Female,34,3,2,Manufacturing Director,3,Married,4171,10022,0,1,1,19,3,1,80,1,4,3,4,3,2,0,2
668,1,41,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,2,Female,57,1,1,Laboratory Technician,4,Divorced,2778,17725,4,1,1,13,3,3,80,1,10,1,2,7,7,1,0
669,0,28,Travel_Rarely,995,Research & Development,9,3,Medical,3,Female,77,3,1,Research Scientist,3,Divorced,2377,9834,5,1,0,18,3,2,80,1,6,2,3,2,2,2,2
670,1,39,Travel_Rarely,1122,Research & Development,6,3,Medical,4,Male,70,3,1,Laboratory Technician,1,Married,2404,4303,7,1,1,21,4,4,80,0,8,2,1,2,2,2,2
671,0,27,Travel_Rarely,618,Research & Development,4,3,Life Sciences,2,Female,76,3,1,Research Scientist,3,Single,2318,17808,1,1,0,19,3,3,80,0,1,2,3,1,1,0,0
672,0,34,Travel_Rarely,546,Research & Development,10,3,Life Sciences,2,Male,83,3,1,Laboratory Technician,2,Divorced,2008,6896,1,1,0,14,3,2,80,2,1,3,3,1,0,1,0
673,0,42,Travel_Rarely,462,Sales,14,2,Medical,3,Female,68,2,2,Sales Executive,3,Single,6244,7824,7,1,0,17,3,1,80,0,10,6,3,5,4,0,3
674,0,33,Travel_Rarely,1198,Research & Development,1,4,Other,3,Male,100,2,1,Research Scientist,1,Single,2799,3339,3,1,1,11,3,2,80,0,6,1,3,3,2,0,2
675,0,58,Travel_Rarely,1272,Research & Development,5,3,Technical Degree,3,Female,37,2,3,Healthcare Representative,2,Divorced,10552,9255,2,1,1,13,3,4,80,1,24,3,3,6,0,0,4
676,0,31,Travel_Rarely,154,Sales,7,4,Life Sciences,2,Male,41,2,1,Sales Representative,3,Married,2329,11737,3,1,0,15,3,2,80,0,13,2,4,7,7,5,2
677,0,35,Travel_Rarely,1137,Research & Development,21,1,Life Sciences,4,Female,51,3,2,Healthcare Representative,4,Married,4014,19170,1,1,1,25,4,4,80,1,10,2,1,10,6,0,7
678,0,49,Travel_Rarely,527,Research & Development,8,2,Other,1,Female,51,3,3,Laboratory Technician,2,Married,7403,22477,4,1,0,11,3,3,80,1,29,3,2,26,9,1,7
679,0,48,Travel_Rarely,1469,Research & Development,20,4,Medical,4,Male,51,3,1,Research Scientist,3,Married,2259,5543,4,1,0,17,3,1,80,2,13,2,2,0,0,0,0
680,0,31,Non-Travel,1188,Sales,20,2,Marketing,4,Female,45,3,2,Sales Executive,3,Married,6932,24406,1,1,0,13,3,4,80,1,9,2,2,9,8,0,0
681,0,36,Travel_Rarely,188,Research & Development,7,4,Other,2,Male,65,3,1,Research Scientist,4,Single,4678,23293,2,1,0,18,3,3,80,0,8,6,3,6,2,0,1
682,0,38,Travel_Rarely,1333,Research & Development,1,3,Technical Degree,4,Female,80,3,3,Research Director,1,Married,13582,16292,1,1,0,13,3,2,80,1,15,3,3,15,12,5,11
683,0,32,Non-Travel,1184,Research & Development,1,3,Life Sciences,3,Female,70,2,1,Laboratory Technician,2,Married,2332,3974,6,1,0,20,4,3,80,0,5,3,3,3,0,0,2
684,1,25,Travel_Rarely,867,Sales,19,2,Marketing,3,Male,36,2,1,Sales Representative,2,Married,2413,18798,1,1,1,18,3,3,80,3,1,2,3,1,0,0,0
685,0,40,Travel_Rarely,658,Sales,10,4,Marketing,1,Male,67,2,3,Sales Executive,2,Divorced,9705,20652,2,1,0,12,3,2,80,1,11,2,2,1,0,0,0
686,0,26,Travel_Frequently,1283,Sales,1,3,Medical,3,Male,52,2,2,Sales Executive,1,Single,4294,11148,1,1,0,12,3,2,80,0,7,2,3,7,7,0,7
687,0,41,Travel_Rarely,263,Research & Development,6,3,Medical,4,Male,59,3,1,Laboratory Technician,1,Single,4721,3119,2,1,1,13,3,3,80,0,20,3,3,18,13,2,17
688,0,36,Travel_Rarely,938,Research & Development,2,4,Medical,3,Male,79,3,1,Laboratory Technician,3,Single,2519,12287,4,1,0,21,4,3,80,0,16,6,3,11,8,3,9
689,1,19,Travel_Rarely,419,Sales,21,3,Other,4,Male,37,2,1,Sales Representative,2,Single,2121,9947,1,1,1,13,3,2,80,0,1,3,4,1,0,0,0
690,1,20,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,Male,84,3,1,Laboratory Technician,1,Single,2973,13008,1,1,0,19,3,2,80,0,1,2,3,1,0,0,0
691,0,31,Travel_Rarely,616,Research & Development,12,3,Medical,4,Female,41,3,2,Healthcare Representative,4,Married,5855,17369,0,1,1,11,3,3,80,2,10,2,1,9,7,8,5
692,0,40,Travel_Frequently,1469,Research & Development,9,4,Medical,4,Male,35,3,1,Research Scientist,2,Divorced,3617,25063,8,1,1,14,3,4,80,1,3,2,3,1,1,0,0
693,0,32,Travel_Rarely,498,Research & Development,3,4,Medical,3,Female,93,3,2,Manufacturing Director,1,Married,6725,13554,1,1,0,12,3,3,80,1,8,2,4,8,7,6,3
694,1,36,Travel_Rarely,530,Sales,3,1,Life Sciences,3,Male,51,2,3,Sales Executive,4,Married,10325,5518,1,1,1,11,3,1,80,1,16,6,3,16,7,3,7
695,0,33,Travel_Rarely,1069,Research & Development,1,3,Life Sciences,2,Female,42,2,2,Healthcare Representative,4,Single,6949,12291,0,1,0,14,3,1,80,0,6,3,3,5,0,1,4
696,1,37,Travel_Rarely,625,Sales,1,4,Life Sciences,1,Male,46,2,3,Sales Executive,3,Married,10609,14922,5,1,0,11,3,3,80,0,17,2,1,14,1,11,7
697,0,45,Non-Travel,805,Research & Development,4,2,Life Sciences,3,Male,57,3,2,Laboratory Technician,2,Married,4447,23163,1,1,0,12,3,2,80,0,9,5,2,9,7,0,8
698,0,29,Travel_Frequently,1404,Sales,20,3,Technical Degree,3,Female,84,3,1,Sales Representative,4,Married,2157,18203,1,1,0,15,3,2,80,1,3,5,3,3,1,0,2
699,0,35,Travel_Rarely,1219,Sales,18,3,Medical,3,Female,86,3,2,Sales Executive,3,Married,4601,6179,1,1,0,16,3,2,80,0,5,3,3,5,2,1,0
700,0,52,Travel_Rarely,1053,Research & Development,1,2,Life Sciences,4,Male,70,3,4,Manager,4,Married,17099,13829,2,1,0,15,3,2,80,1,26,2,2,9,8,7,8
701,1,58,Travel_Rarely,289,Research & Development,2,3,Technical Degree,4,Male,51,3,1,Research Scientist,3,Single,2479,26227,4,1,0,24,4,1,80,0,7,4,3,1,0,0,0
702,0,53,Travel_Rarely,1376,Sales,2,2,Medical,3,Male,45,3,4,Manager,3,Divorced,14852,13938,6,1,0,13,3,3,80,1,22,3,4,17,13,15,2
703,0,30,Travel_Rarely,231,Sales,8,2,Other,3,Male,62,3,3,Sales Executive,3,Divorced,7264,9977,5,1,0,11,3,1,80,1,10,2,4,8,4,7,7
704,0,38,Non-Travel,152,Sales,10,3,Technical Degree,3,Female,85,3,2,Sales Executive,4,Single,5666,19899,1,1,1,13,3,2,80,0,6,1,3,5,3,1,3
705,0,35,Travel_Rarely,882,Sales,3,4,Life Sciences,4,Male,92,3,3,Sales Executive,4,Divorced,7823,6812,6,1,0,13,3,2,80,1,12,2,3,10,9,0,8
706,0,39,Travel_Rarely,903,Sales,2,5,Life Sciences,1,Male,41,4,3,Sales Executive,3,Single,7880,2560,0,1,0,18,3,4,80,0,9,3,3,8,7,0,7
707,1,40,Non-Travel,1479,Sales,24,3,Life Sciences,2,Female,100,4,4,Sales Executive,2,Single,13194,17071,4,1,1,16,3,4,80,0,22,2,2,1,0,0,0
708,0,47,Travel_Frequently,1379,Research & Development,16,4,Medical,3,Male,64,4,2,Manufacturing Director,3,Divorced,5067,6759,1,1,1,19,3,3,80,0,20,3,4,19,10,2,7
709,0,36,Non-Travel,1229,Sales,8,4,Technical Degree,1,Male,84,3,2,Sales Executive,4,Divorced,5079,25952,4,1,0,13,3,4,80,2,12,3,3,7,7,0,7
710,1,31,Non-Travel,335,Research & Development,9,2,Medical,3,Male,46,2,1,Research Scientist,1,Single,2321,10322,0,1,1,22,4,1,80,0,4,0,3,3,2,1,2
711,0,33,Non-Travel,722,Sales,17,3,Life Sciences,4,Male,38,3,4,Manager,3,Single,17444,20489,1,1,0,11,3,4,80,0,10,2,3,10,8,6,0
712,1,29,Travel_Rarely,906,Research & Development,10,3,Life Sciences,4,Female,92,2,1,Research Scientist,1,Single,2404,11479,6,1,1,20,4,3,80,0,3,5,3,0,0,0,0
713,0,33,Travel_Rarely,461,Research & Development,13,1,Life Sciences,2,Female,53,3,1,Research Scientist,4,Single,3452,17241,3,1,0,18,3,1,80,0,5,4,3,3,2,0,2
714,0,45,Travel_Rarely,974,Research & Development,1,4,Medical,4,Female,91,3,1,Laboratory Technician,4,Divorced,2270,11005,3,1,0,14,3,4,80,2,8,2,3,5,3,0,2
715,0,50,Travel_Rarely,1126,Research & Development,1,2,Medical,4,Male,66,3,4,Research Director,4,Divorced,17399,6615,9,1,0,22,4,3,80,1,32,1,2,5,4,1,3
716,0,33,Travel_Frequently,827,Research & Development,1,4,Other,3,Female,84,4,2,Healthcare Representative,2,Married,5488,20161,1,1,1,13,3,1,80,1,6,2,3,6,5,1,2
717,0,41,Travel_Frequently,840,Research & Development,9,3,Medical,1,Male,64,3,5,Research Director,3,Divorced,19419,3735,2,1,0,17,3,2,80,1,21,2,4,18,16,0,11
718,0,27,Travel_Rarely,1134,Research & Development,16,4,Technical Degree,3,Female,37,3,1,Laboratory Technician,2,Married,2811,12086,9,1,0,14,3,2,80,1,4,2,3,2,2,2,2
719,0,45,Non-Travel,248,Research & Development,23,2,Life Sciences,4,Male,42,3,2,Laboratory Technician,1,Married,3633,14039,1,1,1,15,3,3,80,1,9,2,3,9,8,0,8
720,0,47,Travel_Rarely,955,Sales,4,2,Life Sciences,4,Female,83,3,2,Sales Executive,4,Single,4163,8571,1,1,1,17,3,3,80,0,9,0,3,9,0,0,7
721,1,30,Travel_Rarely,138,Research & Development,22,3,Life Sciences,1,Female,48,3,1,Research Scientist,3,Married,2132,11539,4,1,1,11,3,2,80,0,7,2,3,5,2,0,1
722,0,50,Travel_Rarely,939,Research & Development,24,3,Life Sciences,4,Male,95,3,4,Manufacturing Director,3,Married,13973,4161,3,1,1,18,3,4,80,1,22,2,3,12,11,1,5
723,0,38,Travel_Frequently,1391,Research & Development,10,1,Medical,3,Male,66,3,1,Research Scientist,3,Married,2684,12127,0,1,0,17,3,2,80,1,3,0,2,2,1,0,2
724,0,46,Travel_Rarely,566,Research & Development,7,2,Medical,4,Male,75,3,3,Manufacturing Director,3,Divorced,10845,24208,6,1,0,13,3,2,80,1,13,3,3,8,7,0,7
725,0,24,Travel_Rarely,1206,Research & Development,17,1,Medical,4,Female,41,2,2,Manufacturing Director,3,Divorced,4377,24117,1,1,0,15,3,2,80,2,5,6,3,4,2,3,2
726,1,35,Travel_Rarely,622,Research & Development,14,4,Other,3,Male,39,2,1,Laboratory Technician,2,Divorced,3743,10074,1,1,1,24,4,4,80,1,5,2,1,4,2,0,2
727,0,31,Travel_Frequently,853,Research & Development,1,1,Life Sciences,3,Female,96,3,2,Manufacturing Director,1,Married,4148,11275,1,1,0,12,3,3,80,1,4,1,3,4,3,0,3
728,0,18,Non-Travel,287,Research & Development,5,2,Life Sciences,2,Male,73,3,1,Research Scientist,4,Single,1051,13493,1,1,0,15,3,4,80,0,0,2,3,0,0,0,0
729,0,54,Travel_Rarely,1441,Research & Development,17,3,Technical Degree,3,Female,56,3,3,Manufacturing Director,3,Married,10739,13943,8,1,0,11,3,3,80,1,22,2,3,10,7,0,8
730,0,35,Travel_Rarely,583,Research & Development,25,4,Medical,3,Female,57,3,3,Healthcare Representative,3,Divorced,10388,6975,1,1,1,11,3,3,80,1,16,3,2,16,10,10,1
731,0,30,Travel_Rarely,153,Research & Development,8,2,Life Sciences,2,Female,73,4,3,Research Director,1,Married,11416,17802,0,1,1,12,3,3,80,3,9,4,2,8,7,1,7
732,1,20,Travel_Rarely,1097,Research & Development,11,3,Medical,4,Female,98,2,1,Research Scientist,1,Single,2600,18275,1,1,1,15,3,1,80,0,1,2,3,1,0,0,0
733,1,30,Travel_Frequently,109,Research & Development,5,3,Medical,2,Female,60,3,1,Laboratory Technician,2,Single,2422,25725,0,1,0,17,3,1,80,0,4,3,3,3,2,1,2
734,0,26,Travel_Rarely,1066,Research & Development,2,2,Medical,4,Male,32,4,2,Manufacturing Director,4,Married,5472,3334,1,1,0,12,3,2,80,0,8,2,3,8,7,1,3
735,0,22,Travel_Rarely,217,Research & Development,8,1,Life Sciences,2,Male,94,1,1,Laboratory Technician,1,Married,2451,6881,1,1,0,15,3,1,80,1,4,3,2,4,3,1,1
736,0,48,Travel_Rarely,277,Research & Development,6,3,Life Sciences,1,Male,97,2,2,Healthcare Representative,3,Single,4240,13119,2,1,0,13,3,4,80,0,19,0,3,2,2,2,2
737,0,48,Travel_Rarely,1355,Research & Development,4,4,Life Sciences,3,Male,78,2,3,Healthcare Representative,3,Single,10999,22245,7,1,0,14,3,2,80,0,27,3,3,15,11,4,8
738,0,41,Travel_Rarely,549,Research & Development,7,2,Medical,4,Female,42,3,2,Manufacturing Director,3,Single,5003,23371,6,1,0,14,3,2,80,0,8,6,3,2,2,2,1
739,0,39,Travel_Rarely,466,Research & Development,1,1,Life Sciences,4,Female,65,2,4,Manufacturing Director,4,Married,12742,7060,1,1,0,16,3,3,80,1,21,3,3,21,6,11,8
740,0,27,Travel_Rarely,1055,Research & Development,2,4,Life Sciences,1,Female,47,3,2,Manufacturing Director,4,Married,4227,4658,0,1,0,18,3,2,80,1,4,2,3,3,2,2,2
741,0,35,Travel_Rarely,802,Research & Development,10,3,Other,2,Male,45,3,1,Laboratory Technician,4,Divorced,3917,9541,1,1,0,20,4,1,80,1,3,4,2,3,2,1,2
